Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2025 00:00:00 UTC+08:00,157.303,157.793,157.259,157.715,15159.45
02.01.2025 00:00:00 UTC+08:00,157.718,157.855,156.445,157.362,511546.2
03.01.2025 00:00:00 UTC+08:00,157.364,157.499,156.876,157.368,317385.59
05.01.2025 00:00:00 UTC+08:00,157.249,157.533,157.208,157.514,7728.68
06.01.2025 00:00:00 UTC+08:00,157.515,157.966,156.246,157.745,458184.04
07.01.2025 00:00:00 UTC+08:00,157.747,158.43,157.371,158.233,455983.07
08.01.2025 00:00:00 UTC+08:00,158.234,158.553,157.908,158.201,468311.66
09.01.2025 00:00:00 UTC+08:00,158.201,158.332,157.58,158.05,325404.44
10.01.2025 00:00:00 UTC+08:00,158.049,158.887,157.229,157.739,509480.5
12.01.2025 00:00:00 UTC+08:00,157.934,157.934,157.717,157.919,9140.81
13.01.2025 00:00:00 UTC+08:00,157.918,157.973,156.919,157.322,458835.36
14.01.2025 00:00:00 UTC+08:00,157.318,158.2,157.077,158.054,464759.29
15.01.2025 00:00:00 UTC+08:00,158.054,158.09,155.943,156.227,466789.71
16.01.2025 00:00:00 UTC+08:00,156.227,156.533,155.106,155.221,464246.09
17.01.2025 00:00:00 UTC+08:00,155.372,156.378,154.985,156.359,391294.43
19.01.2025 00:00:00 UTC+08:00,156.34,156.59,156.286,156.317,10654.06
20.01.2025 00:00:00 UTC+08:00,156.316,156.475,155.172,155.284,329263.04
21.01.2025 00:00:00 UTC+08:00,155.286,156.26,154.779,155.752,271715.62
22.01.2025 00:00:00 UTC+08:00,155.752,156.712,155.359,156.442,267169.06
23.01.2025 00:00:00 UTC+08:00,156.443,156.756,155.748,156.013,239697.82
24.01.2025 00:00:00 UTC+08:00,156.145,156.58,154.848,155.982,381830.73
26.01.2025 00:00:00 UTC+08:00,155.793,155.847,155.577,155.729,12449.56
27.01.2025 00:00:00 UTC+08:00,155.729,156.253,153.718,154.926,462576.05
28.01.2025 00:00:00 UTC+08:00,154.924,155.983,154.806,155.569,280353.22
29.01.2025 00:00:00 UTC+08:00,155.57,155.794,154.945,155.189,270044.62
30.01.2025 00:00:00 UTC+08:00,155.188,155.213,153.794,154.095,382048.07
31.01.2025 00:00:00 UTC+08:00,154.097,155.262,153.922,155.262,342717.54
02.02.2025 00:00:00 UTC+08:00,154.868,155.444,154.8,155.363,21266.44
03.02.2025 00:00:00 UTC+08:00,155.366,155.891,154.012,155.277,402321.7
04.02.2025 00:00:00 UTC+08:00,155.277,155.525,154.04,154.363,239239.98
05.02.2025 00:00:00 UTC+08:00,154.141,154.363,152.119,152.659,298838.16
06.02.2025 00:00:00 UTC+08:00,152.658,152.9,151.162,151.175,269599.9
07.02.2025 00:00:00 UTC+08:00,151.176,152.429,150.935,151.438,335923.1
09.02.2025 00:00:00 UTC+08:00,151.304,151.89,151.243,151.883,13516.97
10.02.2025 00:00:00 UTC+08:00,151.883,152.542,151.574,151.796,225933.4
11.02.2025 00:00:00 UTC+08:00,151.791,152.776,151.654,152.774,236686.98
12.02.2025 00:00:00 UTC+08:00,152.773,154.806,152.735,154.241,302534.48
13.02.2025 00:00:00 UTC+08:00,154.24,154.673,152.706,152.993,317202.34
14.02.2025 00:00:00 UTC+08:00,153.002,153.108,152.029,152.316,235803.91
16.02.2025 00:00:00 UTC+08:00,152.31,152.416,151.978,152.016,7549.63
17.02.2025 00:00:00 UTC+08:00,152.014,152.12,151.24,151.446,176558.08
18.02.2025 00:00:00 UTC+08:00,151.446,152.227,151.426,151.928,209832.36
19.02.2025 00:00:00 UTC+08:00,151.928,152.318,151.129,151.404,253190.75
20.02.2025 00:00:00 UTC+08:00,151.23,151.24,149.291,149.488,283252.4
21.02.2025 00:00:00 UTC+08:00,149.484,150.741,148.928,149.344,286900.61
23.02.2025 00:00:00 UTC+08:00,149.308,149.412,149.099,149.41,7440.23
24.02.2025 00:00:00 UTC+08:00,149.412,149.921,148.85,149.917,320944.73
25.02.2025 00:00:00 UTC+08:00,149.918,150.304,148.567,149.059,352576.45
26.02.2025 00:00:00 UTC+08:00,149.058,149.892,148.627,148.884,320215.41
