Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2026 00:00:00 UTC+08:00,156.953,156.96,156.724,156.726,2596.76
02.01.2026 00:00:00 UTC+08:00,156.726,157.003,156.522,156.908,94249.67
04.01.2026 00:00:00 UTC+08:00,156.801,157.018,156.723,157.002,7095.04
05.01.2026 00:00:00 UTC+08:00,157,157.299,156.119,156.62,154704.84
06.01.2026 00:00:00 UTC+08:00,156.62,156.8,156.165,156.67,143652.25
07.01.2026 00:00:00 UTC+08:00,156.673,156.809,156.297,156.704,128890.66
08.01.2026 00:00:00 UTC+08:00,156.701,157.074,156.463,156.87,105011.36
09.01.2026 00:00:00 UTC+08:00,156.872,158.188,156.871,157.943,135986.52
11.01.2026 00:00:00 UTC+08:00,158.167,158.188,157.993,158.142,2758.8
12.01.2026 00:00:00 UTC+08:00,158.141,158.211,157.52,157.98,129518.11
13.01.2026 00:00:00 UTC+08:00,157.981,159.203,157.966,159.203,122961.33
14.01.2026 00:00:00 UTC+08:00,159.203,159.457,158.103,158.425,141186.9
15.01.2026 00:00:00 UTC+08:00,158.426,158.88,158.23,158.596,114651.79
16.01.2026 00:00:00 UTC+08:00,158.597,158.706,157.823,158.182,154491.77
18.01.2026 00:00:00 UTC+08:00,157.944,157.986,157.503,157.556,11001.45
19.01.2026 00:00:00 UTC+08:00,157.558,158.229,157.427,158.169,94379.49
20.01.2026 00:00:00 UTC+08:00,158.168,158.605,157.476,158.156,232003.61
21.01.2026 00:00:00 UTC+08:00,158.157,158.534,157.75,158.466,171415.77
22.01.2026 00:00:00 UTC+08:00,158.466,158.896,158.184,158.49,157532.19
23.01.2026 00:00:00 UTC+08:00,158.491,159.229,155.62,155.728,217990.86
25.01.2026 00:00:00 UTC+08:00,154.728,155.285,154.231,155.153,14527.82
26.01.2026 00:00:00 UTC+08:00,155.153,155.353,153.308,154.393,242205.38
27.01.2026 00:00:00 UTC+08:00,154.388,154.883,152.097,152.499,229624.27
28.01.2026 00:00:00 UTC+08:00,152.495,154.053,152.285,153.087,226603.48
29.01.2026 00:00:00 UTC+08:00,153.089,153.541,152.684,153.144,202544.94
30.01.2026 00:00:00 UTC+08:00,153.145,154.802,153.085,154.802,254516.73
01.02.2026 00:00:00 UTC+08:00,155.015,155.516,154.899,155.229,13370.51
02.02.2026 00:00:00 UTC+08:00,155.229,155.79,154.554,155.475,213491.2
03.02.2026 00:00:00 UTC+08:00,155.476,156.088,155.303,155.808,139321.73
04.02.2026 00:00:00 UTC+08:00,155.81,156.95,155.81,156.91,139615.02
05.02.2026 00:00:00 UTC+08:00,156.909,157.337,156.53,156.808,161845.3
06.02.2026 00:00:00 UTC+08:00,156.807,157.282,156.516,157.262,113919.89
08.02.2026 00:00:00 UTC+08:00,157.523,157.662,156.988,157.255,12531.1
09.02.2026 00:00:00 UTC+08:00,157.253,157.301,155.525,156.132,184239.69
10.02.2026 00:00:00 UTC+08:00,156.132,156.297,154.057,154.504,156967.4
11.02.2026 00:00:00 UTC+08:00,154.502,154.655,152.555,153.272,209541.05
12.02.2026 00:00:00 UTC+08:00,153.272,153.762,152.272,152.798,215362.55
13.02.2026 00:00:00 UTC+08:00,152.794,153.67,152.597,152.729,163705.11
15.02.2026 00:00:00 UTC+08:00,152.903,152.903,152.658,152.803,4696.27
16.02.2026 00:00:00 UTC+08:00,152.8,153.762,152.77,153.561,74025.27
17.02.2026 00:00:00 UTC+08:00,153.554,153.925,152.703,153.136,140410.2
18.02.2026 00:00:00 UTC+08:00,153.137,154.871,153.073,154.688,115412.69
19.02.2026 00:00:00 UTC+08:00,154.69,155.344,154.545,155.201,130484.66
20.02.2026 00:00:00 UTC+08:00,155.202,155.646,154.717,155.076,152655.53
22.02.2026 00:00:00 UTC+08:00,155.001,155.002,154.321,154.349,8182.35
23.02.2026 00:00:00 UTC+08:00,154.347,155.049,154,154.665,123062.64
24.02.2026 00:00:00 UTC+08:00,154.666,156.283,154.629,155.913,127165.6
25.02.2026 00:00:00 UTC+08:00,155.912,156.827,155.352,156.175,119259.22
26.02.2026 00:00:00 UTC+08:00,156.174,156.436,155.707,155.865,130325.66
27.02.2026 00:00:00 UTC+08:00,155.862,156.237,155.542,156.078,129483.61
01.03.2026 00:00:00 UTC+08:00,156.052,156.666,156.023,156.638,13959.93
02.03.2026 00:00:00 UTC+08:00,156.64,157.755,156.163,157.274,217095.12
03.03.2026 00:00:00 UTC+08:00,157.275,157.973,157.154,157.77,227033.56
04.03.2026 00:00:00 UTC+08:00,157.771,157.868,156.862,156.983,171510.86
05.03.2026 00:00:00 UTC+08:00,156.985,157.852,156.458,157.573,199457.67
06.03.2026 00:00:00 UTC+08:00,157.572,158.093,157.387,157.847,191900.58
08.03.2026 00:00:00 UTC+08:00,158.075,158.48,158.072,158.407,24926.51
09.03.2026 00:00:00 UTC+08:00,158.406,158.903,157.637,157.882,251117.98
10.03.2026 00:00:00 UTC+08:00,157.883,158.192,157.277,158.111,188617.5
11.03.2026 00:00:00 UTC+08:00,158.112,159.133,157.868,159.091,152691.39
12.03.2026 00:00:00 UTC+08:00,159.092,159.433,158.572,159.246,153971.78
13.03.2026 00:00:00 UTC+08:00,159.237,159.763,159.012,159.762,163050.44
15.03.2026 00:00:00 UTC+08:00,159.664,159.752,159.509,159.565,9232.22
16.03.2026 00:00:00 UTC+08:00,159.566,159.643,158.854,159.139,139974.6
17.03.2026 00:00:00 UTC+08:00,159.141,159.499,158.726,158.917,119436.99
18.03.2026 00:00:00 UTC+08:00,158.916,159.905,158.573,159.818,170544.02
19.03.2026 00:00:00 UTC+08:00,159.82,159.854,157.512,157.935,246749.83
20.03.2026 00:00:00 UTC+08:00,157.936,159.392,157.751,159.24,154752.61
