Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2024 00:00:00 UTC+08:00,140.843,141.128,140.811,141.11,8172.57
02.01.2024 00:00:00 UTC+08:00,141.11,142.216,141.096,142.173,322657.49
03.01.2024 00:00:00 UTC+08:00,142.174,143.731,141.858,142.995,440214.49
04.01.2024 00:00:00 UTC+08:00,142.995,144.85,142.853,144.772,494083.1
05.01.2024 00:00:00 UTC+08:00,144.772,145.976,143.806,144.603,628376.55
07.01.2024 00:00:00 UTC+08:00,144.453,144.917,144.382,144.721,9847.35
08.01.2024 00:00:00 UTC+08:00,144.721,144.797,143.661,144.224,502245.27
09.01.2024 00:00:00 UTC+08:00,144.223,144.623,143.419,144.431,513309.71
10.01.2024 00:00:00 UTC+08:00,144.431,145.828,144.416,145.723,425199.26
11.01.2024 00:00:00 UTC+08:00,145.724,146.414,144.938,145.1,517542.74
12.01.2024 00:00:00 UTC+08:00,145.1,145.566,144.354,144.904,480932.21
14.01.2024 00:00:00 UTC+08:00,144.78,145.171,144.78,145.148,6085.83
15.01.2024 00:00:00 UTC+08:00,145.149,145.941,144.933,145.79,334735.89
16.01.2024 00:00:00 UTC+08:00,145.79,147.31,145.583,147.242,636401.53
17.01.2024 00:00:00 UTC+08:00,147.242,148.524,147.097,148.134,560608.58
18.01.2024 00:00:00 UTC+08:00,148.134,148.299,147.654,148.122,541010.21
19.01.2024 00:00:00 UTC+08:00,148.122,148.802,147.838,148.04,451868.72
21.01.2024 00:00:00 UTC+08:00,148.207,148.259,148.001,148.123,8519.66
22.01.2024 00:00:00 UTC+08:00,148.124,148.302,147.615,148.145,478042.84
23.01.2024 00:00:00 UTC+08:00,148.144,148.694,146.975,148.248,441985.01
24.01.2024 00:00:00 UTC+08:00,148.235,148.26,146.648,147.586,485580.12
25.01.2024 00:00:00 UTC+08:00,147.585,147.936,147.081,147.721,548355.93
26.01.2024 00:00:00 UTC+08:00,147.721,148.209,147.393,148.149,463167.21
28.01.2024 00:00:00 UTC+08:00,148.087,148.185,148.023,148.18,10040.27
29.01.2024 00:00:00 UTC+08:00,148.178,148.333,147.25,147.485,272132.45
30.01.2024 00:00:00 UTC+08:00,147.486,147.926,147.096,147.332,433708.03
31.01.2024 00:00:00 UTC+08:00,147.333,147.898,146.007,147.006,542069.15
01.02.2024 00:00:00 UTC+08:00,147.005,147.114,145.896,146.459,548009.78
02.02.2024 00:00:00 UTC+08:00,146.46,148.583,146.24,148.308,548685.62
04.02.2024 00:00:00 UTC+08:00,148.381,148.673,148.33,148.512,9607.73
05.02.2024 00:00:00 UTC+08:00,148.512,148.892,148.266,148.664,525544.82
06.02.2024 00:00:00 UTC+08:00,148.663,148.787,147.74,147.818,519773.46
07.02.2024 00:00:00 UTC+08:00,147.82,148.257,147.618,148.085,405836.57
08.02.2024 00:00:00 UTC+08:00,148.086,149.477,147.93,149.261,564244.51
09.02.2024 00:00:00 UTC+08:00,149.262,149.575,149.005,149.256,428562.03
11.02.2024 00:00:00 UTC+08:00,149.213,149.314,149.078,149.179,10155.28
12.02.2024 00:00:00 UTC+08:00,149.179,149.478,148.926,149.404,409305.15
13.02.2024 00:00:00 UTC+08:00,149.404,150.883,149.224,150.723,425615.75
14.02.2024 00:00:00 UTC+08:00,150.722,150.775,150.343,150.556,312481.22
15.02.2024 00:00:00 UTC+08:00,150.555,150.555,149.523,149.959,343938.43
16.02.2024 00:00:00 UTC+08:00,149.958,150.645,149.923,150.181,439387.59
18.02.2024 00:00:00 UTC+08:00,150.078,150.195,150.032,150.148,7955.75
19.02.2024 00:00:00 UTC+08:00,150.147,150.301,149.871,150.271,202345.93
20.02.2024 00:00:00 UTC+08:00,150.27,150.437,149.683,149.964,322648.26
21.02.2024 00:00:00 UTC+08:00,149.966,150.391,149.851,150.339,334926.25
22.02.2024 00:00:00 UTC+08:00,150.338,150.688,150.015,150.473,295676.34
23.02.2024 00:00:00 UTC+08:00,150.473,150.767,150.292,150.473,252528.47
25.02.2024 00:00:00 UTC+08:00,150.46,150.562,150.336,150.5,8970.44
26.02.2024 00:00:00 UTC+08:00,150.501,150.837,150.292,150.572,263179.02
27.02.2024 00:00:00 UTC+08:00,150.57,150.609,150.073,150.513,208194.21
28.02.2024 00:00:00 UTC+08:00,150.516,150.842,150.373,150.658,301280.27
29.02.2024 00:00:00 UTC+08:00,150.656,150.656,149.208,150.068,316741.66
01.03.2024 00:00:00 UTC+08:00,150.07,150.72,150.05,150.064,446111.29
03.03.2024 00:00:00 UTC+08:00,149.944,150.153,149.944,150.13,6774.56
04.03.2024 00:00:00 UTC+08:00,150.129,150.568,149.837,150.453,267087.4
05.03.2024 00:00:00 UTC+08:00,150.457,150.545,149.701,150.049,353633.29
06.03.2024 00:00:00 UTC+08:00,150.05,150.084,149.094,149.261,219458.13
07.03.2024 00:00:00 UTC+08:00,149.259,149.259,147.582,147.864,318267.71
08.03.2024 00:00:00 UTC+08:00,147.862,148.117,146.481,147.03,282301.78
10.03.2024 00:00:00 UTC+08:00,146.915,147.126,146.706,146.795,16467.13
11.03.2024 00:00:00 UTC+08:00,146.796,147.144,146.483,146.735,312968.25
12.03.2024 00:00:00 UTC+08:00,146.737,148.161,146.619,147.62,442991.59
13.03.2024 00:00:00 UTC+08:00,147.62,148.045,147.232,147.589,357019.08
14.03.2024 00:00:00 UTC+08:00,147.588,148.355,147.43,148.303,512441.03
15.03.2024 00:00:00 UTC+08:00,148.302,149.163,148.03,148.982,287055.09
17.03.2024 00:00:00 UTC+08:00,148.944,149.088,148.935,148.955,11522.06
18.03.2024 00:00:00 UTC+08:00,148.955,149.328,148.907,149.154,222837.16
19.03.2024 00:00:00 UTC+08:00,149.153,151.065,149.001,151.023,426043.15
20.03.2024 00:00:00 UTC+08:00,151.021,151.816,150.678,150.738,365086.31
21.03.2024 00:00:00 UTC+08:00,150.737,151.752,150.263,151.633,277048.72
22.03.2024 00:00:00 UTC+08:00,151.629,151.862,151.003,151.431,256900.04
24.03.2024 00:00:00 UTC+08:00,151.305,151.435,151.084,151.312,9664.48
25.03.2024 00:00:00 UTC+08:00,151.311,151.544,151.052,151.379,260306.12
26.03.2024 00:00:00 UTC+08:00,151.377,151.602,151.206,151.52,344726.36
27.03.2024 00:00:00 UTC+08:00,151.521,151.97,151.025,151.293,363056.56
28.03.2024 00:00:00 UTC+08:00,151.292,151.544,151.149,151.443,281703.53
29.03.2024 00:00:00 UTC+08:00,151.442,151.496,151.167,151.307,105304.25
31.03.2024 00:00:00 UTC+08:00,151.246,151.428,151.219,151.401,11250.26
01.04.2024 00:00:00 UTC+08:00,151.401,151.771,151.248,151.594,238939.61
02.04.2024 00:00:00 UTC+08:00,151.594,151.801,151.461,151.545,326282.35
03.04.2024 00:00:00 UTC+08:00,151.545,151.953,151.439,151.581,291770.81
04.04.2024 00:00:00 UTC+08:00,151.581,151.77,151.119,151.293,356720.39
05.04.2024 00:00:00 UTC+08:00,151.292,151.75,150.81,151.617,425917.22
07.04.2024 00:00:00 UTC+08:00,151.569,151.729,151.54,151.68,16656.06
08.04.2024 00:00:00 UTC+08:00,151.679,151.941,151.67,151.832,244418.51
09.04.2024 00:00:00 UTC+08:00,151.833,151.935,151.568,151.776,277012.56
10.04.2024 00:00:00 UTC+08:00,151.777,153.238,151.68,152.951,358549.37
11.04.2024 00:00:00 UTC+08:00,152.951,153.318,152.759,153.194,318405.89
12.04.2024 00:00:00 UTC+08:00,153.195,153.383,152.59,153.24,287219.08
14.04.2024 00:00:00 UTC+08:00,153.034,153.32,152.966,153.308,15254.44
15.04.2024 00:00:00 UTC+08:00,153.305,154.445,153.279,154.213,315207.65
16.04.2024 00:00:00 UTC+08:00,154.216,154.784,153.898,154.699,303013.6
17.04.2024 00:00:00 UTC+08:00,154.698,154.733,154.157,154.339,190594.06
18.04.2024 00:00:00 UTC+08:00,154.338,154.679,153.956,154.613,249751.44
19.04.2024 00:00:00 UTC+08:00,154.614,154.672,153.586,154.562,329649.16
21.04.2024 00:00:00 UTC+08:00,154.547,154.69,154.387,154.633,9406.8
22.04.2024 00:00:00 UTC+08:00,154.637,154.848,154.584,154.813,165951.79
23.04.2024 00:00:00 UTC+08:00,154.813,154.875,154.55,154.748,191480.78
24.04.2024 00:00:00 UTC+08:00,154.747,155.372,154.739,155.268,184436.03
25.04.2024 00:00:00 UTC+08:00,155.268,155.747,155.243,155.621,269211.76
26.04.2024 00:00:00 UTC+08:00,155.621,158.439,154.965,158.291,309474.97
28.04.2024 00:00:00 UTC+08:00,157.806,158.431,157.703,158.2,17366.75
29.04.2024 00:00:00 UTC+08:00,158.201,160.203,154.523,156.332,473470.12
30.04.2024 00:00:00 UTC+08:00,156.325,157.842,156.166,157.747,220680.78
01.05.2024 00:00:00 UTC+08:00,157.747,157.985,152.989,155.727,326455.37
02.05.2024 00:00:00 UTC+08:00,155.726,156.283,152.876,153.134,424273.97
03.05.2024 00:00:00 UTC+08:00,153.132,153.446,151.857,153.008,367913.61
05.05.2024 00:00:00 UTC+08:00,152.886,153.703,152.764,153.655,11932.19
06.05.2024 00:00:00 UTC+08:00,153.658,154.281,153.318,154.239,216705.71
07.05.2024 00:00:00 UTC+08:00,154.239,154.84,153.87,154.771,262757.35
08.05.2024 00:00:00 UTC+08:00,154.771,155.683,154.688,155.376,239278.67
09.05.2024 00:00:00 UTC+08:00,155.375,155.951,155.152,155.394,231352.47
10.05.2024 00:00:00 UTC+08:00,155.396,155.903,155.358,155.761,221905.45
12.05.2024 00:00:00 UTC+08:00,155.629,155.833,155.629,155.83,7043.35
13.05.2024 00:00:00 UTC+08:00,155.83,156.247,155.502,156.228,194088.4
14.05.2024 00:00:00 UTC+08:00,156.228,156.783,156.223,156.521,193433.63
15.05.2024 00:00:00 UTC+08:00,156.521,156.56,154.151,154.3,328272.83
16.05.2024 00:00:00 UTC+08:00,154.301,155.532,153.598,155.399,326374.56
17.05.2024 00:00:00 UTC+08:00,155.397,155.977,155.247,155.603,224368.63
19.05.2024 00:00:00 UTC+08:00,155.534,155.819,155.525,155.763,6748.17
20.05.2024 00:00:00 UTC+08:00,155.763,156.402,155.493,156.401,228306.6
21.05.2024 00:00:00 UTC+08:00,156.4,156.545,155.841,156.271,355541.95
22.05.2024 00:00:00 UTC+08:00,156.271,156.84,156.139,156.732,229629.77
23.05.2024 00:00:00 UTC+08:00,156.733,157.194,156.528,156.991,257286.81
24.05.2024 00:00:00 UTC+08:00,156.991,157.145,156.82,156.943,170613.47
26.05.2024 00:00:00 UTC+08:00,156.806,156.944,156.787,156.866,5867.88
27.05.2024 00:00:00 UTC+08:00,156.867,156.956,156.661,156.836,131015.82
28.05.2024 00:00:00 UTC+08:00,156.838,157.286,156.579,157.271,210601.07
29.05.2024 00:00:00 UTC+08:00,157.272,157.707,156.894,157.626,216836.37
30.05.2024 00:00:00 UTC+08:00,157.624,157.625,156.37,156.992,312864.65
31.05.2024 00:00:00 UTC+08:00,156.991,157.364,156.557,157.279,302749.49
02.06.2024 00:00:00 UTC+08:00,157.124,157.338,157.11,157.182,11980.01
03.06.2024 00:00:00 UTC+08:00,157.182,157.47,155.948,156.089,307120.3
04.06.2024 00:00:00 UTC+08:00,156.091,156.484,154.548,155.116,428049.9
05.06.2024 00:00:00 UTC+08:00,155.113,156.485,155.094,155.913,381832.67
06.06.2024 00:00:00 UTC+08:00,155.912,156.445,155.354,155.678,265197.19
07.06.2024 00:00:00 UTC+08:00,155.676,157.076,155.119,156.7,372021.34
09.06.2024 00:00:00 UTC+08:00,156.717,156.94,156.564,156.822,11959.3
10.06.2024 00:00:00 UTC+08:00,156.821,157.193,156.719,157.044,293524.23
11.06.2024 00:00:00 UTC+08:00,157.042,157.402,156.803,157.112,319375.33
12.06.2024 00:00:00 UTC+08:00,157.111,157.37,155.716,156.801,384264.08
13.06.2024 00:00:00 UTC+08:00,156.8,157.311,156.579,157.122,361756.54
14.06.2024 00:00:00 UTC+08:00,157.123,158.255,156.795,157.36,441951.45
16.06.2024 00:00:00 UTC+08:00,157.253,157.662,157.235,157.556,12575.34
17.06.2024 00:00:00 UTC+08:00,157.56,157.959,157.155,157.695,267466.84
18.06.2024 00:00:00 UTC+08:00,157.695,158.229,157.515,157.864,222716.1
19.06.2024 00:00:00 UTC+08:00,157.87,158.131,157.602,157.956,133037.97
20.06.2024 00:00:00 UTC+08:00,157.955,158.95,157.954,158.935,230974.86
21.06.2024 00:00:00 UTC+08:00,158.936,159.835,158.669,159.765,252604.92
23.06.2024 00:00:00 UTC+08:00,159.751,159.905,159.596,159.897,9693.95
24.06.2024 00:00:00 UTC+08:00,159.897,159.927,158.74,159.697,240618.65
25.06.2024 00:00:00 UTC+08:00,159.7,159.756,159.186,159.699,252747.08
26.06.2024 00:00:00 UTC+08:00,159.7,160.865,159.663,160.627,272672.91
27.06.2024 00:00:00 UTC+08:00,160.627,160.822,160.28,160.703,285786.92
28.06.2024 00:00:00 UTC+08:00,160.704,161.282,160.261,160.802,346298.27
30.06.2024 00:00:00 UTC+08:00,160.811,160.941,160.683,160.922,11430.29
01.07.2024 00:00:00 UTC+08:00,160.922,161.728,160.737,161.513,258744.19
02.07.2024 00:00:00 UTC+08:00,161.513,161.742,161.266,161.488,195306.5
03.07.2024 00:00:00 UTC+08:00,161.489,161.949,160.768,161.586,242083.86
04.07.2024 00:00:00 UTC+08:00,161.585,161.601,160.946,161.36,167694.1
05.07.2024 00:00:00 UTC+08:00,161.361,161.394,160.33,160.719,259689.05
07.07.2024 00:00:00 UTC+08:00,160.721,160.819,160.575,160.638,14728.69
08.07.2024 00:00:00 UTC+08:00,160.637,161.117,160.26,160.859,315014.46
09.07.2024 00:00:00 UTC+08:00,160.859,161.515,160.739,161.33,255230.1
10.07.2024 00:00:00 UTC+08:00,161.329,161.804,161.301,161.592,218180.9
11.07.2024 00:00:00 UTC+08:00,161.594,161.758,157.409,158.273,320843.74
12.07.2024 00:00:00 UTC+08:00,158.275,159.384,157.359,157.7,316014.71
14.07.2024 00:00:00 UTC+08:00,158.068,158.419,157.979,158.287,15369.37
15.07.2024 00:00:00 UTC+08:00,158.286,158.365,157.163,158.15,325486.21
16.07.2024 00:00:00 UTC+08:00,158.15,158.854,158.104,158.36,295081.02
17.07.2024 00:00:00 UTC+08:00,158.361,158.624,155.37,155.675,497008.89
18.07.2024 00:00:00 UTC+08:00,155.675,157.397,155.457,157.176,452300.54
19.07.2024 00:00:00 UTC+08:00,157.176,157.862,156.952,157.475,335941.45
21.07.2024 00:00:00 UTC+08:00,157.329,157.499,157.155,157.424,13918.27
22.07.2024 00:00:00 UTC+08:00,157.423,157.61,156.284,156.903,421966.36
23.07.2024 00:00:00 UTC+08:00,156.901,156.927,155.528,155.76,433665.28
24.07.2024 00:00:00 UTC+08:00,155.761,155.99,153.105,153.916,570617.57
