Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2026 00:00:00 UTC+08:00,156.501,156.879,156.497,156.722,3520.54
02.01.2026 00:00:00 UTC+08:00,156.72,156.999,156.517,156.84,85139.13
04.01.2026 00:00:00 UTC+08:00,156.699,157.015,156.699,156.998,6269.83
05.01.2026 00:00:00 UTC+08:00,156.998,157.296,156.116,156.614,154793.69
06.01.2026 00:00:00 UTC+08:00,156.615,156.797,156.163,156.666,134888.56
07.01.2026 00:00:00 UTC+08:00,156.663,156.806,156.295,156.697,12172
08.01.2026 00:00:00 UTC+08:00,156.694,157.07,156.457,156.866,97298.11
09.01.2026 00:00:00 UTC+08:00,156.868,158.185,156.867,157.859,136706.77
11.01.2026 00:00:00 UTC+08:00,158.063,158.181,157.983,158.138,2910.98
12.01.2026 00:00:00 UTC+08:00,158.137,158.203,157.515,157.976,137370.28
13.01.2026 00:00:00 UTC+08:00,157.977,159.202,157.963,159.196,130707.31
14.01.2026 00:00:00 UTC+08:00,159.196,159.452,158.102,158.421,142675.95
15.01.2026 00:00:00 UTC+08:00,158.424,158.878,158.226,158.589,112874.81
16.01.2026 00:00:00 UTC+08:00,158.591,158.702,157.82,158.137,139364.98
18.01.2026 00:00:00 UTC+08:00,157.89,157.971,157.498,157.55,10875.16
19.01.2026 00:00:00 UTC+08:00,157.554,158.226,157.42,158.165,91758.09
20.01.2026 00:00:00 UTC+08:00,158.164,158.602,157.465,158.152,215222.89
21.01.2026 00:00:00 UTC+08:00,158.153,158.533,157.745,158.458,173376.36
22.01.2026 00:00:00 UTC+08:00,158.46,158.892,158.178,158.487,139297.17
23.01.2026 00:00:00 UTC+08:00,158.488,159.226,155.601,155.611,215312.4
25.01.2026 00:00:00 UTC+08:00,154.612,155.275,154.213,155.147,14571.4
26.01.2026 00:00:00 UTC+08:00,155.149,155.344,153.305,154.387,244307.81
27.01.2026 00:00:00 UTC+08:00,154.386,154.877,152.094,152.495,225247.89
28.01.2026 00:00:00 UTC+08:00,152.49,154.047,152.278,153.081,231101.19
29.01.2026 00:00:00 UTC+08:00,153.084,153.536,152.682,153.141,197444.66
30.01.2026 00:00:00 UTC+08:00,153.142,154.794,153.082,154.756,249783.66
01.02.2026 00:00:00 UTC+08:00,154.878,155.514,154.836,155.226,12886.29
02.02.2026 00:00:00 UTC+08:00,155.225,155.787,154.548,155.472,215538.4
03.02.2026 00:00:00 UTC+08:00,155.472,156.083,155.3,155.804,145090.95
04.02.2026 00:00:00 UTC+08:00,155.806,156.946,155.806,156.906,143898.38
05.02.2026 00:00:00 UTC+08:00,156.905,157.335,156.528,156.805,159602.12
06.02.2026 00:00:00 UTC+08:00,156.804,157.271,156.51,157.196,116071.25
08.02.2026 00:00:00 UTC+08:00,157.522,157.66,156.774,157.247,12471.29
09.02.2026 00:00:00 UTC+08:00,157.251,157.292,155.522,156.126,173942.86
10.02.2026 00:00:00 UTC+08:00,156.127,156.294,154.054,154.5,154461.6
11.02.2026 00:00:00 UTC+08:00,154.498,154.651,152.552,153.266,204462.16
12.02.2026 00:00:00 UTC+08:00,153.268,153.758,152.268,152.791,211864.56
13.02.2026 00:00:00 UTC+08:00,152.788,153.662,152.595,152.625,161809.1
15.02.2026 00:00:00 UTC+08:00,152.569,152.859,152.562,152.8,4971.34
16.02.2026 00:00:00 UTC+08:00,152.798,153.757,152.767,153.556,75357.23
17.02.2026 00:00:00 UTC+08:00,153.55,153.923,152.697,153.13,137344.73
18.02.2026 00:00:00 UTC+08:00,153.13,154.869,153.069,154.684,119377.69
19.02.2026 00:00:00 UTC+08:00,154.687,155.341,154.542,155.195,135261.38
20.02.2026 00:00:00 UTC+08:00,155.196,155.643,154.712,154.988,154999
22.02.2026 00:00:00 UTC+08:00,154.849,154.951,154.316,154.341,8441.44
23.02.2026 00:00:00 UTC+08:00,154.342,155.043,153.996,154.66,119592.67
24.02.2026 00:00:00 UTC+08:00,154.66,156.281,154.623,155.91,130320.8
25.02.2026 00:00:00 UTC+08:00,155.91,156.824,155.344,156.169,120689.17
26.02.2026 00:00:00 UTC+08:00,156.168,156.43,155.702,155.857,127926.16
27.02.2026 00:00:00 UTC+08:00,155.857,156.231,155.535,156.017,128924.37
01.03.2026 00:00:00 UTC+08:00,155.948,156.66,155.948,156.631,12230.31
02.03.2026 00:00:00 UTC+08:00,156.633,157.751,156.158,157.268,225399.86
